node_id,raw_id,node_type,display_name,handle,channel_id,channel_name,category,source_query,view_count,degree,strength,n_comentarios_observados,n_videos_comentados
V:ndAZjHqzzT8,ndAZjHqzzT8,video,Internet: escoger el menos malo,@quorumgt,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,@quorumgt/videos,717.0,4,5,12,0
V:n8iP75gIpmw,n8iP75gIpmw,video,Qué rico come tu diputado,@quorumgt,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,Quorum GT,11775.0,4,5,161,0
V:j43HgwYFKfk,j43HgwYFKfk,video,La cooptación de Walter Mazariegos en la USAC,@quorumgt,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,@quorumgt,10156.0,3,4,50,0
V:yLZS3JiEBg8,yLZS3JiEBg8,video,Arroz con pollo a la MONOPOLIO,@quorumgt,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,@quorumgt/videos,1954.0,2,3,16,0
V:PjmxCj-a9Hg,PjmxCj-a9Hg,video,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,@GobiernodelaRepublicadeGuatema,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,@GobiernodeGuatemala,3628.0,2,2,25,0
V:6W4u8sGEnGM,6W4u8sGEnGM,video,Inician los trabajos de recuperación del Puente Belice II.,@GobiernodelaRepublicadeGuatema,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,Entertainment,Gobierno de la República de Guatemala,11670.0,2,2,45,0
V:WIUZtitfLRw,WIUZtitfLRw,video,Caminar en una ciudad hecha para carros,@quorumgt,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,@quorumgt/videos,422.0,2,2,6,0
V:b_Hkrkl3adA,b_Hkrkl3adA,video,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,@PrensaLibreOficial,UCEepOY2svuxbsJ-zsAPT9Fg,PrensaLibreOficial,News & Politics,guatemala noticias,5469.0,1,1,7,0
V:06mFNPU0aB8,06mFNPU0aB8,video,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,@Noti7Guatemala,UCVpSRoZgngfSL03Nlbjtq9A,Noti7,News & Politics,guatemala noticias,6692.0,1,1,14,0
V:is3Mk5oC19g,is3Mk5oC19g,video,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,@TN23TodoNoticias,UCt5Dw7ePnn0AqPqRF8Xpjkw,TN23 Guatemala,News & Politics,guatemala noticias,4616.0,1,1,7,0
V:3Nfp9h5avBI,3Nfp9h5avBI,video,"Noticiero en Directo 1 pm, 28 de Agosto de 2026",@GuatevisionNoticiero,UCdSVqHGHzyMTXSafUHY-e-w,Noticiero Guatevisión 13 Hrs.,News & Politics,guatemala noticias,573.0,0,0,2,0
V:X_FAIef8qlE,X_FAIef8qlE,video,Cruzando la ciudad a puro Transmetro,@quorumgt,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,@quorumgt/videos,1140.0,0,0,1,0
V:UhL9y3KUl8E,UhL9y3KUl8E,video,SHAI WA: la vecina queer de Casa Presidencial,@quorumgt,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,@quorumgt/videos,1755.0,0,0,1,0
V:OkXlHx0hx-8,OkXlHx0hx-8,video,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,@noticias,UCRwA1NUcUnwsly35ikGhp0A,Noticias Telemundo,News & Politics,guatemala noticias,14200.0,0,0,25,0
V:TT4qJ5FXHYE,TT4qJ5FXHYE,video,"I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres.",@quorumgt,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,@quorumgt/videos,1075.0,0,0,4,0
V:JkpVO1hx2f8,JkpVO1hx2f8,video,10 Preguntas a un año del Paro Nacional,@quorumgt,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,@quorumgt/videos,673.0,0,0,3,0
V:lj983NWyAQY,lj983NWyAQY,video,Plan 2032 Ciudad de Guatemala,@MunicipalidaddeGuatemala-1551,UCXa6LVjBzUtmcM3cwbd9e2w,Municipalidad de Guatemala,News & Politics,Municipalidad de Guatemala,304089.0,0,0,25,0
V:s0eco-BofOs,s0eco-BofOs,video,¿Quiénes pagan más en Centroamérica?,@quorumgt,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,News & Politics,Quorum GT,220.0,0,0,1,0
V:zweosulrwA8,zweosulrwA8,video,Edén por Salud: empleo inclusivo para personas con discapacidad en Antigua | Super - Episodio 2,@quorumgt,UCE4rsXcgDb6e1-a9iTbWzfg,Quorum,Nonprofits & Activism,@quorumgt,52.0,0,0,1,0
