node_id,raw_id,node_type,bipartite_set,display_name,handle,channel_id,channel_name,category,source_query,source_group,view_count,degree,strength,n_comentarios_observados,n_videos_comentados,n_canales_comentados,n_autores_observados,me_gusta_recibidos,respuestas_recibidas,largo_medio_comentario
A:UCXXh7yg5KUFIWylTiKVEFKQ,UCXXh7yg5KUFIWylTiKVEFKQ,author,0,@MrDuenderojo,@MrDuenderojo,,,,,,,1,2,2,1,1,0,2,0,83.0
A:UCbrtvygfRT6QXqWDNrOf-cA,UCbrtvygfRT6QXqWDNrOf-cA,author,0,@Alejandro00710,@Alejandro00710,,,,,,,2,2,2,2,1,0,0,0,130.0
A:UCdFlugHJJa4l3YqWuNRmvXw,UCdFlugHJJa4l3YqWuNRmvXw,author,0,@MarcosCarillo-b1r,@MarcosCarillo-b1r,,,,,,,2,2,2,2,2,0,0,1,73.5
A:UCi1b_TRQfgO1Z9O2gNGGWNA,UCi1b_TRQfgO1Z9O2gNGGWNA,author,0,@davidisraelesquitsaquil,@davidisraelesquitsaquil,,,,,,,1,2,2,1,1,0,0,0,470.0
A:UCjZgFEowMBrsjodqfovzdKw,UCjZgFEowMBrsjodqfovzdKw,author,0,@franciscoflores3120,@franciscoflores3120,,,,,,,2,2,2,2,2,0,0,0,35.5
A:UCkd9W714-947dEE6ZOEBATA,UCkd9W714-947dEE6ZOEBATA,author,0,@ARGELIATELON,@ARGELIATELON,,,,,,,1,2,2,1,1,0,3,0,229.0
A:UCoGdCoJg2Lh0OX_jv6cG16g,UCoGdCoJg2Lh0OX_jv6cG16g,author,0,@Israel-u5i7i,@Israel-u5i7i,,,,,,,1,2,2,1,1,0,2,0,38.0
A:UCp29O_C7cchZV8IxV7Crdag,UCp29O_C7cchZV8IxV7Crdag,author,0,@robertoescobar5507,@robertoescobar5507,,,,,,,1,2,2,1,1,0,0,0,36.0
A:UCrJn_rbo_ENAdeqneS-RmRw,UCrJn_rbo_ENAdeqneS-RmRw,author,0,@josecarrera9623,@josecarrera9623,,,,,,,1,2,2,1,1,0,1,0,152.0
A:UCsUCN0Yq_UyTvKjOJLmNrnQ,UCsUCN0Yq_UyTvKjOJLmNrnQ,author,0,@moisesvaldez4043,@moisesvaldez4043,,,,,,,2,2,2,2,2,0,0,0,90.0
A:UCtCtts20bW6F9CSohau51Iw,UCtCtts20bW6F9CSohau51Iw,author,0,@carlosgranados9875,@carlosgranados9875,,,,,,,1,2,2,1,1,0,0,0,160.5
A:UCtNyHmRZtvGF2hSvI2dUBWw,UCtNyHmRZtvGF2hSvI2dUBWw,author,0,@aureliomaldonado4793,@aureliomaldonado4793,,,,,,,1,2,2,1,1,0,1,0,124.0
A:UCut6b9S98nv84cVX89PmKzA,UCut6b9S98nv84cVX89PmKzA,author,0,@yeniferaguirre4498,@yeniferaguirre4498,,,,,,,1,2,2,1,1,0,1,0,330.5
A:UCwW2OFy95P7ZBkOPxWkpvYg,UCwW2OFy95P7ZBkOPxWkpvYg,author,0,@TeresaLucero-b5o,@TeresaLucero-b5o,,,,,,,1,2,2,1,1,0,2,0,39.0
A:UCz3gu01bmjNv0DpRq-K3XYg,UCz3gu01bmjNv0DpRq-K3XYg,author,0,@eusebiovasquez4385,@eusebiovasquez4385,,,,,,,1,2,2,1,1,0,2,0,46.5
A:UCzZ6dDCEsLMXbc5pCFXIprw,UCzZ6dDCEsLMXbc5pCFXIprw,author,0,@josegil3813,@josegil3813,,,,,,,2,2,2,2,1,0,0,0,103.0
A:UC-HeUTT6_g-VoiWds2a4H-w,UC-HeUTT6_g-VoiWds2a4H-w,author,0,@JorgeMunoz-gd9et,@JorgeMunoz-gd9et,,,,,,,1,1,1,1,1,0,0,0,116.0
A:UC-Iul5tDYH_oiAMXQH-KaaQ,UC-Iul5tDYH_oiAMXQH-KaaQ,author,0,@AlbertoMancilla-p9h,@AlbertoMancilla-p9h,,,,,,,1,1,1,1,1,0,1,0,188.0
A:UC-fiZBS5Gp1eCJd9ucgWnCg,UC-fiZBS5Gp1eCJd9ucgWnCg,author,0,@Tommii.10,@Tommii.10,,,,,,,1,1,1,1,1,0,6,0,168.0
A:UC-hfX8J5JPJ-dfuakzegMLA,UC-hfX8J5JPJ-dfuakzegMLA,author,0,@normaleticiaorozcojuarez2418,@normaleticiaorozcojuarez2418,,,,,,,1,1,1,1,1,0,6,0,631.0
A:UC-jS_kA9w-OmpupXDx156Rg,UC-jS_kA9w-OmpupXDx156Rg,author,0,@simoncreyesc7579,@simoncreyesc7579,,,,,,,1,1,1,1,1,0,2,0,55.0
A:UC-pNP6RMFuLg_-x7Ah_0kEA,UC-pNP6RMFuLg_-x7Ah_0kEA,author,0,@almacatalan2717,@almacatalan2717,,,,,,,1,1,1,1,1,0,5,0,117.0
A:UC094EFEmMSdwVa8NQjjYBXg,UC094EFEmMSdwVa8NQjjYBXg,author,0,@CelestinoQuej-j7k,@CelestinoQuej-j7k,,,,,,,1,1,1,1,1,0,0,0,80.0
A:UC0HvfEWozTHbwl_iEmJNvVA,UC0HvfEWozTHbwl_iEmJNvVA,author,0,@OttoPalencia-b7r,@OttoPalencia-b7r,,,,,,,1,1,1,1,1,0,3,0,145.0
A:UC0RpuMwkDKJYqgKHtsJRuWQ,UC0RpuMwkDKJYqgKHtsJRuWQ,author,0,@sabinamarinaguerra3248,@sabinamarinaguerra3248,,,,,,,1,1,1,1,1,0,113,1,73.0
A:UC0aEyakBPqcBkVJiErfSupQ,UC0aEyakBPqcBkVJiErfSupQ,author,0,@jhonymanuel9891,@jhonymanuel9891,,,,,,,1,1,1,1,1,0,70,0,24.0
A:UC14qlobYKqD-DO0j6b75lcA,UC14qlobYKqD-DO0j6b75lcA,author,0,@megavision4488,@megavision4488,,,,,,,1,1,1,1,1,0,0,0,148.0
A:UC1DpqK6vaPEkBOMNvypsKYg,UC1DpqK6vaPEkBOMNvypsKYg,author,0,@HectorCarranza-u4j4o,@HectorCarranza-u4j4o,,,,,,,1,1,1,1,1,0,0,0,206.0
A:UC1NiEdJ7gk6FlDexIalWnGg,UC1NiEdJ7gk6FlDexIalWnGg,author,0,@BorisTebalán,@BorisTebalán,,,,,,,1,1,1,1,1,0,0,0,361.0
A:UC1WlJfQmaIskYhP4gmWoamw,UC1WlJfQmaIskYhP4gmWoamw,author,0,@marthareiss5434,@marthareiss5434,,,,,,,1,1,1,1,1,0,2,1,155.0
A:UC1Y7x3h0c95Z8kUhi-Tzaeg,UC1Y7x3h0c95Z8kUhi-Tzaeg,author,0,@rosadiaz9235,@rosadiaz9235,,,,,,,1,1,1,1,1,0,0,0,172.0
A:UC1vr9aaMI2crB0NvwFHUeoQ,UC1vr9aaMI2crB0NvwFHUeoQ,author,0,@JoseSimilox-p6e,@JoseSimilox-p6e,,,,,,,1,1,1,1,1,0,0,0,152.0
A:UC2Y_EHWQKevubk4vOEBBFxw,UC2Y_EHWQKevubk4vOEBBFxw,author,0,@alfonsomorales2653,@alfonsomorales2653,,,,,,,1,1,1,1,1,0,1,0,173.0
A:UC2ngpd8UBQu4gcUYy0goAtg,UC2ngpd8UBQu4gcUYy0goAtg,author,0,@juliohernandez7438,@juliohernandez7438,,,,,,,1,1,1,1,1,0,0,0,80.0
A:UC2weSE8rpqkGMOp6StYtVfg,UC2weSE8rpqkGMOp6StYtVfg,author,0,@katerynsantiago2907,@katerynsantiago2907,,,,,,,1,1,1,1,1,0,1,0,209.0
A:UC32oozucwCF3q8d4m8fyOUg,UC32oozucwCF3q8d4m8fyOUg,author,0,@RauldejesusOlivagonzalez,@RauldejesusOlivagonzalez,,,,,,,1,1,1,1,1,0,0,0,135.0
A:UC3E9mAgP7VoAE5mZoAexl5g,UC3E9mAgP7VoAE5mZoAexl5g,author,0,@EnnioAroche,@EnnioAroche,,,,,,,1,1,1,1,1,0,0,0,143.0
