source,target,source_raw_id,target_raw_id,weight,significado_peso,source_label,target_label
A:UC-HeUTT6_g-VoiWds2a4H-w,A:UCiOZX__1gahg1ypIj0_XG_w,UC-HeUTT6_g-VoiWds2a4H-w,UCiOZX__1gahg1ypIj0_XG_w,1,numero de videos compartidos por los dos autores,@JorgeMunoz-gd9et,@mariogonzalezorellana8956
A:UC-HeUTT6_g-VoiWds2a4H-w,A:UCjZgFEowMBrsjodqfovzdKw,UC-HeUTT6_g-VoiWds2a4H-w,UCjZgFEowMBrsjodqfovzdKw,1,numero de videos compartidos por los dos autores,@JorgeMunoz-gd9et,@franciscoflores3120
A:UC-HeUTT6_g-VoiWds2a4H-w,A:UCoGdCoJg2Lh0OX_jv6cG16g,UC-HeUTT6_g-VoiWds2a4H-w,UCoGdCoJg2Lh0OX_jv6cG16g,1,numero de videos compartidos por los dos autores,@JorgeMunoz-gd9et,@Israel-u5i7i
A:UC-HeUTT6_g-VoiWds2a4H-w,A:UCp29O_C7cchZV8IxV7Crdag,UC-HeUTT6_g-VoiWds2a4H-w,UCp29O_C7cchZV8IxV7Crdag,1,numero de videos compartidos por los dos autores,@JorgeMunoz-gd9et,@robertoescobar5507
A:UC-HeUTT6_g-VoiWds2a4H-w,A:UCql1n3Ey6ULMSOACjMe-fxQ,UC-HeUTT6_g-VoiWds2a4H-w,UCql1n3Ey6ULMSOACjMe-fxQ,1,numero de videos compartidos por los dos autores,@JorgeMunoz-gd9et,@RolandoGonzalez-o7g
A:UC-HeUTT6_g-VoiWds2a4H-w,A:UCtCtts20bW6F9CSohau51Iw,UC-HeUTT6_g-VoiWds2a4H-w,UCtCtts20bW6F9CSohau51Iw,1,numero de videos compartidos por los dos autores,@JorgeMunoz-gd9et,@carlosgranados9875
A:UC-HeUTT6_g-VoiWds2a4H-w,A:UCtsxPYw8VUsH_FfnKg-0lmw,UC-HeUTT6_g-VoiWds2a4H-w,UCtsxPYw8VUsH_FfnKg-0lmw,1,numero de videos compartidos por los dos autores,@JorgeMunoz-gd9et,@AlejandroPérez-b6r
A:UC-HeUTT6_g-VoiWds2a4H-w,A:UCvDwJBBY1mHK70aTEYl6rsA,UC-HeUTT6_g-VoiWds2a4H-w,UCvDwJBBY1mHK70aTEYl6rsA,1,numero de videos compartidos por los dos autores,@JorgeMunoz-gd9et,@cristianescobedo8296
A:UC-HeUTT6_g-VoiWds2a4H-w,A:UCwxoKK59nGCeBqB2sXfDBIw,UC-HeUTT6_g-VoiWds2a4H-w,UCwxoKK59nGCeBqB2sXfDBIw,1,numero de videos compartidos por los dos autores,@JorgeMunoz-gd9et,@vic-bonivideos
A:UC-HeUTT6_g-VoiWds2a4H-w,A:UCyJhqmMbsvjpoarBBStA2kg,UC-HeUTT6_g-VoiWds2a4H-w,UCyJhqmMbsvjpoarBBStA2kg,1,numero de videos compartidos por los dos autores,@JorgeMunoz-gd9et,@Murmullodelbarrio
