node_id,raw_id,node_type,display_name,handle,channel_id,channel_name,category,source_query,view_count,degree,strength,n_comentarios_observados,n_videos_comentados
A:UC8G5cJONY8L9voMyBW8Eoug,UC8G5cJONY8L9voMyBW8Eoug,author,@luisparedes-pw6qt,@luisparedes-pw6qt,,,,,,127,127,1,1
A:UCDPWkUX3sNNaCx-m1dV4glA,UCDPWkUX3sNNaCx-m1dV4glA,author,@hectoroliva949,@hectoroliva949,,,,,,127,127,1,1
A:UCFxE8GbokBrBsPEKM1xrOjQ,UCFxE8GbokBrBsPEKM1xrOjQ,author,@JuanDavila-qd7qj,@JuanDavila-qd7qj,,,,,,127,127,1,1
A:UCDUffaruH6dyUnUGwsTKpgg,UCDUffaruH6dyUnUGwsTKpgg,author,@luisletona2842,@luisletona2842,,,,,,127,127,1,1
A:UCDQaQv0hr2SS_PO-CMEwVHg,UCDQaQv0hr2SS_PO-CMEwVHg,author,@federicosaquimux1933,@federicosaquimux1933,,,,,,127,127,1,1
A:UCGzXwyCzMzGmjmCbH3Hg01Q,UCGzXwyCzMzGmjmCbH3Hg01Q,author,@FidelZacarias-ph7dy,@FidelZacarias-ph7dy,,,,,,127,127,1,1
A:UCFoIAE8k82D6AV-8gjjKaNg,UCFoIAE8k82D6AV-8gjjKaNg,author,@eddymunoz9789,@eddymunoz9789,,,,,,127,127,1,1
A:UCFhxtoeARHPnXXPcDrOU3Xg,UCFhxtoeARHPnXXPcDrOU3Xg,author,@diegoalejandrolopezmendez205,@diegoalejandrolopezmendez205,,,,,,127,127,1,1
A:UCFUuDARXdmmIrLppEqf-rFg,UCFUuDARXdmmIrLppEqf-rFg,author,@allanmunoz7410,@allanmunoz7410,,,,,,127,127,1,1
A:UCHhHUjaMAZ8SiXdCUCj9DkQ,UCHhHUjaMAZ8SiXdCUCj9DkQ,author,@fredymendez1786,@fredymendez1786,,,,,,127,127,2,1
