source,target,source_type,target_type,source_raw_id,target_raw_id,weight,significado_peso,me_gusta_en_esos_comentarios,respuestas_recibidas_en_esos_comentarios,comment_ids,source_label,target_label
A:UChs3tU2BcKOT0CezykvAsGw,V:n8iP75gIpmw,author,video,UChs3tU2BcKOT0CezykvAsGw,n8iP75gIpmw,3,numero de comentarios observados del autor en el video,4,0,UgwGm1V-_GN1ZPcijdl4AaABAg|Ugwjtq_DUb6ISU-ppsh4AaABAg|Ugyeb8_nptWKXnFXH8F4AaABAg,@byronpontaza,Qué rico come tu diputado
A:UC-QOpE7GOxlXcHZ8b7HbQKA,V:OkXlHx0hx-8,author,video,UC-QOpE7GOxlXcHZ8b7HbQKA,OkXlHx0hx-8,2,numero de comentarios observados del autor en el video,0,0,UgxiEgXuexKPtHEwAQJ4AaABAg.Aa9HLCNywwKAa9ZeEQh7n7|Ugzk5XnOVKoVj8FiOCB4AaABAg,@mariaalexander427,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo
A:UC7IMsCxfZyWN7YQo8-JYa6Q,V:PjmxCj-a9Hg,author,video,UC7IMsCxfZyWN7YQo8-JYa6Q,PjmxCj-a9Hg,2,numero de comentarios observados del autor en el video,1,0,Ugwvm2HYh08HI1HkcXV4AaABAg|UgySlQlmZmrLAq5JsLx4AaABAg.ALh5XYlqNufALhOuUP3UYB,@Burgos68,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt
A:UCAxvOOHQk7dYPOajzFEVtbA,V:06mFNPU0aB8,author,video,UCAxvOOHQk7dYPOajzFEVtbA,06mFNPU0aB8,2,numero de comentarios observados del autor en el video,0,0,Ugw9_Qw_QaSdggWuKJt4AaABAg|UgyC9HUMcvW-e_nFJK14AaABAg,@ruddydepaz322,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto
A:UCBlm80VQ4YoV3bUJR_XhkaQ,V:OkXlHx0hx-8,author,video,UCBlm80VQ4YoV3bUJR_XhkaQ,OkXlHx0hx-8,2,numero de comentarios observados del autor en el video,0,3,Ugx90cmhNaRBNDou1BR4AaABAg|Ugx90cmhNaRBNDou1BR4AaABAg.AaA5Ej9IqgQAaCnVqXU5cy,@rosadiaz6945,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo
A:UCHTGCgY2l-DQJIvlA_cpa_Q,V:n8iP75gIpmw,author,video,UCHTGCgY2l-DQJIvlA_cpa_Q,n8iP75gIpmw,2,numero de comentarios observados del autor en el video,13,0,UgxxNu7QTJHuAgFaEYN4AaABAg|Ugy4ex02KEXL5UFGjw14AaABAg,@virgiliogarcia3039,Qué rico come tu diputado
A:UCHhHUjaMAZ8SiXdCUCj9DkQ,V:n8iP75gIpmw,author,video,UCHhHUjaMAZ8SiXdCUCj9DkQ,n8iP75gIpmw,2,numero de comentarios observados del autor en el video,3,0,UgwJN55EmMcKPRb_AfB4AaABAg|UgxqSfWMWvqMX8tiC5x4AaABAg,@fredymendez1786,Qué rico come tu diputado
A:UCL13XhnRzbGokEkCkEOb0-g,V:n8iP75gIpmw,author,video,UCL13XhnRzbGokEkCkEOb0-g,n8iP75gIpmw,2,numero de comentarios observados del autor en el video,8,0,UgwrIvqGid-S983oU9J4AaABAg|UgycKHbiLBi0WcSs8sh4AaABAg,@raquelprado3643,Qué rico come tu diputado
A:UCLFdHr9BEbXHkoJopbEPLZw,V:n8iP75gIpmw,author,video,UCLFdHr9BEbXHkoJopbEPLZw,n8iP75gIpmw,2,numero de comentarios observados del autor en el video,24,0,UgwwH4OIcVCCN6SbBX14AaABAg|UgzpzyaFY6F6IdFxzk14AaABAg,@kanterra4584,Qué rico come tu diputado
A:UCLggDc_a5HriXv7I1h02sOA,V:n8iP75gIpmw,author,video,UCLggDc_a5HriXv7I1h02sOA,n8iP75gIpmw,2,numero de comentarios observados del autor en el video,7,0,Ugx2ApaAMqe4ca4SCYx4AaABAg|UgzGYzecKVZyDzajKPV4AaABAg,@guillermogonzalez5153,Qué rico come tu diputado
A:UCNBnKqWf4d-rS4HwJRQljmQ,V:n8iP75gIpmw,author,video,UCNBnKqWf4d-rS4HwJRQljmQ,n8iP75gIpmw,2,numero de comentarios observados del autor en el video,1,0,Ugx-G2kCu5aSwh3IR5l4AaABAg|UgzOGr7KGQ9pa-CJdgN4AaABAg,@LE_A22,Qué rico come tu diputado
A:UCOLGv5Pf6BF2wFcwUzgcvHg,V:n8iP75gIpmw,author,video,UCOLGv5Pf6BF2wFcwUzgcvHg,n8iP75gIpmw,2,numero de comentarios observados del autor en el video,4,0,Ugw8pyxscJNUQpfoKuF4AaABAg|Ugz8pKFUmjVv-zF8lvJ4AaABAg,@welfrealdana5559,Qué rico come tu diputado
A:UCQ_-LPP8JAbfkc-b1Q6NvWw,V:n8iP75gIpmw,author,video,UCQ_-LPP8JAbfkc-b1Q6NvWw,n8iP75gIpmw,2,numero de comentarios observados del autor en el video,31,0,Ugw9eye2GML6RHRSu-14AaABAg|Ugzd2CVlJWOmHWBPSkN4AaABAg,@MegaKristenstewart,Qué rico come tu diputado
A:UCQtICyzWmhC5woCtbNgaSmg,V:n8iP75gIpmw,author,video,UCQtICyzWmhC5woCtbNgaSmg,n8iP75gIpmw,2,numero de comentarios observados del autor en el video,5,0,UgxpFKbiejsVGSNIcTh4AaABAg|UgymHZwhYtsW9EYkxdl4AaABAg,@nestormendez6216,Qué rico come tu diputado
A:UCVC2QugcI1G4RvlCiUqd1aQ,V:ndAZjHqzzT8,author,video,UCVC2QugcI1G4RvlCiUqd1aQ,ndAZjHqzzT8,2,numero de comentarios observados del autor en el video,0,0,UgwovhZaCiV0r6XOH_R4AaABAg|UgyIteBIiYe7DjUN3554AaABAg,@rwdm76,Internet: escoger el menos malo
A:UCWaRixDdpgllTBf4V0jPnKQ,V:6W4u8sGEnGM,author,video,UCWaRixDdpgllTBf4V0jPnKQ,6W4u8sGEnGM,2,numero de comentarios observados del autor en el video,0,0,UgwIB06iEQnFOFLc9et4AaABAg.Aa-0m2jDJt2Aa42DVzs9Zy|UgxEsAK7q3l34wFdZ414AaABAg.A_zCnf5bSajAa41uU3Anhg,@hectormaaz5523,Inician los trabajos de recuperación del Puente Belice II.
A:UCXXh7yg5KUFIWylTiKVEFKQ,V:n8iP75gIpmw,author,video,UCXXh7yg5KUFIWylTiKVEFKQ,n8iP75gIpmw,2,numero de comentarios observados del autor en el video,2,0,UgyihMW-pXKI2cEDqWx4AaABAg|Ugzb66mq9Rv0T7aalfJ4AaABAg,@MrDuenderojo,Qué rico come tu diputado
A:UCi1b_TRQfgO1Z9O2gNGGWNA,V:n8iP75gIpmw,author,video,UCi1b_TRQfgO1Z9O2gNGGWNA,n8iP75gIpmw,2,numero de comentarios observados del autor en el video,0,0,Ugx8FxDKPAY-M_JhRgd4AaABAg|Ugz7WPxTOQEwmZpnx_V4AaABAg,@davidisraelesquitsaquil,Qué rico come tu diputado
A:UCkd9W714-947dEE6ZOEBATA,V:n8iP75gIpmw,author,video,UCkd9W714-947dEE6ZOEBATA,n8iP75gIpmw,2,numero de comentarios observados del autor en el video,3,0,UgxTjz0jSJkZW5dGnSp4AaABAg|Ugy5j8gzaawBk-mw5et4AaABAg,@ARGELIATELON,Qué rico come tu diputado
A:UCoGdCoJg2Lh0OX_jv6cG16g,V:6W4u8sGEnGM,author,video,UCoGdCoJg2Lh0OX_jv6cG16g,6W4u8sGEnGM,2,numero de comentarios observados del autor en el video,2,0,UgwSt406Q1HWBWCewI14AaABAg.Aa-KmSVE5UgAa-M7iXQwik|UgxEsAK7q3l34wFdZ414AaABAg.A_zCnf5bSajA_zMcZPgoSk,@Israel-u5i7i,Inician los trabajos de recuperación del Puente Belice II.
A:UCp29O_C7cchZV8IxV7Crdag,V:6W4u8sGEnGM,author,video,UCp29O_C7cchZV8IxV7Crdag,6W4u8sGEnGM,2,numero de comentarios observados del autor en el video,0,0,Ugwm9VajlW3ydbsf-BJ4AaABAg|UgzT_1dx4pvgJTFMsnZ4AaABAg,@robertoescobar5507,Inician los trabajos de recuperación del Puente Belice II.
A:UCrJn_rbo_ENAdeqneS-RmRw,V:n8iP75gIpmw,author,video,UCrJn_rbo_ENAdeqneS-RmRw,n8iP75gIpmw,2,numero de comentarios observados del autor en el video,1,0,UgyX06qZFc3cNK6223J4AaABAg|UgzTqBd3og9IPuVu3o94AaABAg,@josecarrera9623,Qué rico come tu diputado
A:UCtCtts20bW6F9CSohau51Iw,V:6W4u8sGEnGM,author,video,UCtCtts20bW6F9CSohau51Iw,6W4u8sGEnGM,2,numero de comentarios observados del autor en el video,0,0,UgxEsAK7q3l34wFdZ414AaABAg.A_zCnf5bSajAa0q77b9a3F|UgxEsAK7q3l34wFdZ414AaABAg.A_zCnf5bSajAa0qEPC8tJc,@carlosgranados9875,Inician los trabajos de recuperación del Puente Belice II.
A:UCtNyHmRZtvGF2hSvI2dUBWw,V:PjmxCj-a9Hg,author,video,UCtNyHmRZtvGF2hSvI2dUBWw,PjmxCj-a9Hg,2,numero de comentarios observados del autor en el video,1,0,UgzJ85lM1ogkB4KOk2d4AaABAg|UgzuugQO6qMSbkVsdGp4AaABAg,@aureliomaldonado4793,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt
A:UCut6b9S98nv84cVX89PmKzA,V:n8iP75gIpmw,author,video,UCut6b9S98nv84cVX89PmKzA,n8iP75gIpmw,2,numero de comentarios observados del autor en el video,1,0,Ugw86zOgTwKzYotlT9l4AaABAg|UgxctiUZJriWwsE0a6J4AaABAg,@yeniferaguirre4498,Qué rico come tu diputado
