author_channel_id,author_handle,author_name,n_comentarios,n_videos_distintos,n_canales_distintos,me_gusta_recibidos,respuestas_recibidas,strength_bipartita,degree_proyeccion_autores,strength_proyeccion_autores,n_comunidades_video_tocadas,comunidades_video_tocadas,videos_comentados,titulos_videos,canales,delta_componentes_al_eliminar,aristas_video_perdidas_al_eliminar,es_puente_verificado,es_recurrente,es_multicanal,es_multicomunidad
UC-QOpE7GOxlXcHZ8b7HbQKA,@mariaalexander427,@mariaalexander427,2,1,1,0,0,2,17,17,1,[5],OkXlHx0hx-8,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo,0,0,False,True,False,False
UC7IMsCxfZyWN7YQo8-JYa6Q,@Burgos68,@Burgos68,2,1,1,1,0,2,18,18,1,[1],PjmxCj-a9Hg,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Gobierno de la República de Guatemala,0,0,False,True,False,False
UCAxvOOHQk7dYPOajzFEVtbA,@ruddydepaz322,@ruddydepaz322,2,1,1,0,0,2,12,12,1,[1],06mFNPU0aB8,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,Noti7,0,0,False,True,False,False
UCBlm80VQ4YoV3bUJR_XhkaQ,@rosadiaz6945,@rosadiaz6945,2,1,1,0,3,2,17,17,1,[5],OkXlHx0hx-8,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo,0,0,False,True,False,False
UCHhHUjaMAZ8SiXdCUCj9DkQ,@fredymendez1786,@fredymendez1786,2,1,1,3,0,2,127,127,1,[0],n8iP75gIpmw,Qué rico come tu diputado,Quorum,0,0,False,True,False,False
UCL13XhnRzbGokEkCkEOb0-g,@raquelprado3643,@raquelprado3643,2,1,1,8,0,2,127,127,1,[0],n8iP75gIpmw,Qué rico come tu diputado,Quorum,0,0,False,True,False,False
UCLFdHr9BEbXHkoJopbEPLZw,@kanterra4584,@kanterra4584,2,1,1,24,0,2,127,127,1,[0],n8iP75gIpmw,Qué rico come tu diputado,Quorum,0,0,False,True,False,False
UCLggDc_a5HriXv7I1h02sOA,@guillermogonzalez5153,@guillermogonzalez5153,2,1,1,7,0,2,127,127,1,[0],n8iP75gIpmw,Qué rico come tu diputado,Quorum,0,0,False,True,False,False
UCNBnKqWf4d-rS4HwJRQljmQ,@LE_A22,@LE_A22,2,1,1,1,0,2,127,127,1,[0],n8iP75gIpmw,Qué rico come tu diputado,Quorum,0,0,False,True,False,False
UCOLGv5Pf6BF2wFcwUzgcvHg,@welfrealdana5559,@welfrealdana5559,2,1,1,4,0,2,127,127,1,[0],n8iP75gIpmw,Qué rico come tu diputado,Quorum,0,0,False,True,False,False
UCQ_-LPP8JAbfkc-b1Q6NvWw,@MegaKristenstewart,@MegaKristenstewart,2,1,1,31,0,2,127,127,1,[0],n8iP75gIpmw,Qué rico come tu diputado,Quorum,0,0,False,True,False,False
UCQtICyzWmhC5woCtbNgaSmg,@nestormendez6216,@nestormendez6216,2,1,1,5,0,2,127,127,1,[0],n8iP75gIpmw,Qué rico come tu diputado,Quorum,0,0,False,True,False,False
UCVC2QugcI1G4RvlCiUqd1aQ,@rwdm76,@rwdm76,2,1,1,0,0,2,9,9,1,[2],ndAZjHqzzT8,Internet: escoger el menos malo,Quorum,0,0,False,True,False,False
UCWaRixDdpgllTBf4V0jPnKQ,@hectormaaz5523,@hectormaaz5523,2,1,1,0,0,2,31,31,1,[1],6W4u8sGEnGM,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,0,0,False,True,False,False
UCXXh7yg5KUFIWylTiKVEFKQ,@MrDuenderojo,@MrDuenderojo,2,1,1,2,0,2,127,127,1,[0],n8iP75gIpmw,Qué rico come tu diputado,Quorum,0,0,False,True,False,False
UCi1b_TRQfgO1Z9O2gNGGWNA,@davidisraelesquitsaquil,@davidisraelesquitsaquil,2,1,1,0,0,2,127,127,1,[0],n8iP75gIpmw,Qué rico come tu diputado,Quorum,0,0,False,True,False,False
UCkd9W714-947dEE6ZOEBATA,@ARGELIATELON,@ARGELIATELON,2,1,1,3,0,2,127,127,1,[0],n8iP75gIpmw,Qué rico come tu diputado,Quorum,0,0,False,True,False,False
UCoGdCoJg2Lh0OX_jv6cG16g,@Israel-u5i7i,@Israel-u5i7i,2,1,1,2,0,2,31,31,1,[1],6W4u8sGEnGM,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,0,0,False,True,False,False
UCp29O_C7cchZV8IxV7Crdag,@robertoescobar5507,@robertoescobar5507,2,1,1,0,0,2,31,31,1,[1],6W4u8sGEnGM,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,0,0,False,True,False,False
UCrJn_rbo_ENAdeqneS-RmRw,@josecarrera9623,@josecarrera9623,2,1,1,1,0,2,127,127,1,[0],n8iP75gIpmw,Qué rico come tu diputado,Quorum,0,0,False,True,False,False
UCtCtts20bW6F9CSohau51Iw,@carlosgranados9875,@carlosgranados9875,2,1,1,0,0,2,31,31,1,[1],6W4u8sGEnGM,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,0,0,False,True,False,False
UCtNyHmRZtvGF2hSvI2dUBWw,@aureliomaldonado4793,@aureliomaldonado4793,2,1,1,1,0,2,18,18,1,[1],PjmxCj-a9Hg,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Gobierno de la República de Guatemala,0,0,False,True,False,False
UCut6b9S98nv84cVX89PmKzA,@yeniferaguirre4498,@yeniferaguirre4498,2,1,1,1,0,2,127,127,1,[0],n8iP75gIpmw,Qué rico come tu diputado,Quorum,0,0,False,True,False,False
UCwW2OFy95P7ZBkOPxWkpvYg,@TeresaLucero-b5o,@TeresaLucero-b5o,2,1,1,2,0,2,127,127,1,[0],n8iP75gIpmw,Qué rico come tu diputado,Quorum,0,0,False,True,False,False
