author_channel_id,n_comentarios,n_videos,n_canales,n_me_gusta,n_respuestas_recibidas,author_handle,author_name,len_medio
UC094EFEmMSdwVa8NQjjYBXg,1,1,1,0,0,@CelestinoQuej-j7k,@CelestinoQuej-j7k,80.0
UC0HvfEWozTHbwl_iEmJNvVA,1,1,1,3,0,@OttoPalencia-b7r,@OttoPalencia-b7r,145.0
UC0RpuMwkDKJYqgKHtsJRuWQ,1,1,1,113,1,@sabinamarinaguerra3248,@sabinamarinaguerra3248,73.0
UC0aEyakBPqcBkVJiErfSupQ,1,1,1,70,0,@jhonymanuel9891,@jhonymanuel9891,24.0
UC14qlobYKqD-DO0j6b75lcA,1,1,1,0,0,@megavision4488,@megavision4488,148.0
UC1DpqK6vaPEkBOMNvypsKYg,1,1,1,0,0,@HectorCarranza-u4j4o,@HectorCarranza-u4j4o,206.0
UC1NiEdJ7gk6FlDexIalWnGg,1,1,1,0,0,@BorisTebalán,@BorisTebalán,361.0
UC1WlJfQmaIskYhP4gmWoamw,1,1,1,2,1,@marthareiss5434,@marthareiss5434,155.0
UC1Y7x3h0c95Z8kUhi-Tzaeg,1,1,1,0,0,@rosadiaz9235,@rosadiaz9235,172.0
UC1vr9aaMI2crB0NvwFHUeoQ,1,1,1,0,0,@JoseSimilox-p6e,@JoseSimilox-p6e,152.0
UC2Y_EHWQKevubk4vOEBBFxw,1,1,1,1,0,@alfonsomorales2653,@alfonsomorales2653,173.0
UC2ngpd8UBQu4gcUYy0goAtg,1,1,1,0,0,@juliohernandez7438,@juliohernandez7438,80.0
UC2weSE8rpqkGMOp6StYtVfg,1,1,1,1,0,@katerynsantiago2907,@katerynsantiago2907,209.0
UC32oozucwCF3q8d4m8fyOUg,1,1,1,0,0,@RauldejesusOlivagonzalez,@RauldejesusOlivagonzalez,135.0
UC3E9mAgP7VoAE5mZoAexl5g,1,1,1,0,0,@EnnioAroche,@EnnioAroche,143.0
UC3MYTqpQqlWBuCB7Th0e0PA,1,1,1,4,0,@isaaclopez7220,@isaaclopez7220,115.0
UC3NMzdMYryaw82kPTnsaljg,1,1,1,0,0,@marisosa7832,@marisosa7832,46.0
UC3UVO7pTbeYvZ3ILEyRDskQ,1,1,1,1,0,@rosaelenaargueta79,@rosaelenaargueta79,57.0
UC3YpzAr7pcdKC7BVFEpYzog,1,1,1,4,1,@carmenfigueroa1232,@carmenfigueroa1232,186.0
UC3iIU62XKUOWuqL8BqBzj9A,1,1,1,0,0,@antonioduarte2288,@antonioduarte2288,90.0
UC3qn1yJA5PeW9rkGPatQxiw,1,1,1,7,0,@VICTOREST19,@VICTOREST19,82.0
UC4Avya4kmR4Q0FrfFdBozSQ,1,1,1,11,0,@davidlima1348,@davidlima1348,305.0
UC4cXueR2bKGFJV0Fk76gwmA,1,1,1,0,0,@aluxdel4792,@aluxdel4792,199.0
UC4kg7zuTfqQKLd2bkZrSYBA,1,1,1,0,0,@zoilagarcia9019,@zoilagarcia9019,39.0
UC4wq3DcbfaG6dtCqn8Oyu3w,1,1,1,1,0,@hugoasencio7764,@hugoasencio7764,30.0
UC5PrBbmUlQolwqmiru7yZhw,1,1,1,0,1,@lazarochavez8269,@lazarochavez8269,352.0
UC5PyGvSfFM--OVKmQ3COu6g,1,1,1,3,0,@FreddyGmez,@FreddyGmez,61.0
UC5bG9nc_JV3FsNP2KseQiYw,1,1,1,2,0,@giovannirodas4836,@giovannirodas4836,313.0
UC5fvhAfm89JH8eDFdvc0xYw,1,1,1,0,0,@isaidiaz2388,@isaidiaz2388,19.0
UC5hvEnRUzI4Kfvwnyi4QxqQ,1,1,1,2,0,@leonelsantizo5281,@leonelsantizo5281,105.0
UC5wuDq3U3vRAhOQI3D7gNdw,1,1,1,2,1,@allanreneramirezgonzalez534,@allanreneramirezgonzalez534,69.0
UC63tFvbQ_hJhGDi2nbjssjw,1,1,1,2,0,@AbigailRodas-w2r,@AbigailRodas-w2r,65.0
UC650pRT-OYzny3GwOH8Cgfw,1,1,1,1,0,@edvinparedesherrera7632,@edvinparedesherrera7632,89.0
UC6PvO1_k5lHKGdAPo5_C6TA,1,1,1,1,0,@johnmejia992,@johnmejia992,87.0
UC6Uj1FT5JjDSF8vudvDxPAA,1,1,1,1,0,@alfredoortega9264,@alfredoortega9264,139.0
UC6YSZqL0vEcI-niPKIMUGfw,1,1,1,2,0,@maxwellsales885,@maxwellsales885,174.0
UC6xI_MOaxajIWpoP8BH6E_Q,1,1,1,0,0,@jahirdiaz5862,@jahirdiaz5862,5.0
UC7VUuJr9cGh845CmTvf7TlQ,1,1,1,1,0,@LuisCastillo-oz4df,@LuisCastillo-oz4df,150.0
UC7dadZG7kkGYnsNu6td0FbA,1,1,1,18,0,@lesolorzano,@lesolorzano,55.0
UC816IGbFCZinfYS1LRDaaHg,1,1,1,1,0,@ingenieroar,@ingenieroar,18.0
UC8F2V63KZ4ZEay6opX2hAQw,1,1,1,0,0,@carmenr6311,@carmenr6311,688.0
UC8G5cJONY8L9voMyBW8Eoug,1,1,1,0,0,@luisparedes-pw6qt,@luisparedes-pw6qt,64.0
