node_id,raw_id,node_type,display_name,handle,channel_id,channel_name,category,source_query,view_count,n_comentarios_observados,n_videos_comentados,n_canales_comentados,degree,degree_centrality,strength,betweenness_ponderada,betweenness_no_ponderada,closeness_wf,harmonic,harmonic_normalizada,pagerank,eigenvector,k_core,clustering_ponderado,componente_id,tamano_de_su_componente,es_punto_articulacion,rank_strength,rank_betweenness,rank_pagerank
A:UCZLG9qH0tUjNhEGFIUt0CYw,UCZLG9qH0tUjNhEGFIUt0CYw,author,@SoniaMarroquin-y6e,@SoniaMarroquin-y6e,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCcfdg8crmMJwEuLUsAhV7yg,UCcfdg8crmMJwEuLUsAhV7yg,author,@RolandoRaguay,@RolandoRaguay,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCfM3nrxtTQMY5jFx1v1J4Gg,UCfM3nrxtTQMY5jFx1v1J4Gg,author,@edgarroldan5539,@edgarroldan5539,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCgvw7xIdGFupzpt1Y_BFkEA,UCgvw7xIdGFupzpt1Y_BFkEA,author,@fredygarcia9151,@fredygarcia9151,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCh5ESQvtzyHDhCA7XyekCFA,UCh5ESQvtzyHDhCA7XyekCFA,author,@andyB5280,@andyB5280,,,,,,3,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UChZknRmJkeGeQk0-mQuhDOg,UChZknRmJkeGeQk0-mQuhDOg,author,@OdilioRodríguez-c5w,@OdilioRodríguez-c5w,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UChep9kVb5gQmpodEEl10Xlg,UChep9kVb5gQmpodEEl10Xlg,author,@carlosaguilar-kz7ml,@carlosaguilar-kz7ml,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UChgkn5Jt5tWKYMoEOuCjz3Q,UChgkn5Jt5tWKYMoEOuCjz3Q,author,@pablochitay46,@pablochitay46,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UChs3tU2BcKOT0CezykvAsGw,UChs3tU2BcKOT0CezykvAsGw,author,@byronpontaza,@byronpontaza,,,,,,3,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCi1b_TRQfgO1Z9O2gNGGWNA,UCi1b_TRQfgO1Z9O2gNGGWNA,author,@davidisraelesquitsaquil,@davidisraelesquitsaquil,,,,,,2,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCiGRBf2RNF0WRKhRVT7zFoA,UCiGRBf2RNF0WRKhRVT7zFoA,author,@edwinavila4876,@edwinavila4876,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCiMythXHsw7eQEMykCdmMUA,UCiMythXHsw7eQEMykCdmMUA,author,@JavierBecerra-h6x,@JavierBecerra-h6x,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCipetjeiWj4CZB6EbyYziZg,UCipetjeiWj4CZB6EbyYziZg,author,@OseasSamayoa-ol5rz,@OseasSamayoa-ol5rz,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCj-LL25XJnjxepPKCc3NGog,UCj-LL25XJnjxepPKCc3NGog,author,@anaaguirre8985,@anaaguirre8985,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCjSKM9j0Q7HLDr1hD6D-TUw,UCjSKM9j0Q7HLDr1hD6D-TUw,author,@josehidalgo4875,@josehidalgo4875,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCjmPuazZJzscrwvk0QR9RVw,UCjmPuazZJzscrwvk0QR9RVw,author,@mynorrodas8591,@mynorrodas8591,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCkd9W714-947dEE6ZOEBATA,UCkd9W714-947dEE6ZOEBATA,author,@ARGELIATELON,@ARGELIATELON,,,,,,2,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCl0ekS9Tt0jJGtOEM18S63w,UCl0ekS9Tt0jJGtOEM18S63w,author,@monkchapin,@monkchapin,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCljDbleJul41G1TzOjOZAVA,UCljDbleJul41G1TzOjOZAVA,author,@hectorcarranza3777,@hectorcarranza3777,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCmjppp6ujz3SAnULvP3sZMw,UCmjppp6ujz3SAnULvP3sZMw,author,@marcomendez7509,@marcomendez7509,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCmvOgzmmXbjUthHy-WJ52hQ,UCmvOgzmmXbjUthHy-WJ52hQ,author,@mariorodas593,@mariorodas593,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCp4iw5_5SmV9VGTFSNVGOmQ,UCp4iw5_5SmV9VGTFSNVGOmQ,author,@CARLOSSTREMS51,@CARLOSSTREMS51,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCpIdtvoFHVLGASGB5ySqIEA,UCpIdtvoFHVLGASGB5ySqIEA,author,@VidalVillatoro-p4w,@VidalVillatoro-p4w,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCpl8rF8uv_8uui-QRvuJaRA,UCpl8rF8uv_8uui-QRvuJaRA,author,@SergioGarcia-z9c,@SergioGarcia-z9c,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCplrIQtaPj6au60_f2-mOYw,UCplrIQtaPj6au60_f2-mOYw,author,@romeolopezherrarte799,@romeolopezherrarte799,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCr1emrogPKkKTs_WTtx71xg,UCr1emrogPKkKTs_WTtx71xg,author,@domingopeneleu6457,@domingopeneleu6457,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCrJn_rbo_ENAdeqneS-RmRw,UCrJn_rbo_ENAdeqneS-RmRw,author,@josecarrera9623,@josecarrera9623,,,,,,2,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCsJJAvrVGupdmhOqgtDp8dg,UCsJJAvrVGupdmhOqgtDp8dg,author,@nestorlorenzana1168,@nestorlorenzana1168,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCsSXdJct-nsS8DsABoEsaYA,UCsSXdJct-nsS8DsABoEsaYA,author,@IvánPérez-j4j,@IvánPérez-j4j,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCsjs5Hp_r86x1xbK6FAeqaA,UCsjs5Hp_r86x1xbK6FAeqaA,author,@alvaroesquivel563,@alvaroesquivel563,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCtNfIBnc5S5DbbQj_yxgJTw,UCtNfIBnc5S5DbbQj_yxgJTw,author,@JosueRamirez-ey3ih,@JosueRamirez-ey3ih,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCtUR3_CAiE7fCoZHM6cMfyQ,UCtUR3_CAiE7fCoZHM6cMfyQ,author,@mdelcid01,@mdelcid01,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCueV9cTyTDwgQSec1x2dYgA,UCueV9cTyTDwgQSec1x2dYgA,author,@fredydomingo7062,@fredydomingo7062,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCujPF2nBgsTD62nWE3lcpIg,UCujPF2nBgsTD62nWE3lcpIg,author,@victorarturoruanobautista7588,@victorarturoruanobautista7588,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCut6b9S98nv84cVX89PmKzA,UCut6b9S98nv84cVX89PmKzA,author,@yeniferaguirre4498,@yeniferaguirre4498,,,,,,2,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCvApqeCbLod-wejtT4CcVuA,UCvApqeCbLod-wejtT4CcVuA,author,@davidgaher9550,@davidgaher9550,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCwO2SXr0ggzwg6QWWrr01nQ,UCwO2SXr0ggzwg6QWWrr01nQ,author,@ricardofigueroa5720,@ricardofigueroa5720,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCwW2OFy95P7ZBkOPxWkpvYg,UCwW2OFy95P7ZBkOPxWkpvYg,author,@TeresaLucero-b5o,@TeresaLucero-b5o,,,,,,2,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCwha8rxULYMVtNwZWeSkE1A,UCwha8rxULYMVtNwZWeSkE1A,author,@mariasamo8637,@mariasamo8637,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCxff05WuyvwELNITi7bj7UA,UCxff05WuyvwELNITi7bj7UA,author,@markoherrera,@markoherrera,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCySYJU5kUh7X8gVt9la2ISA,UCySYJU5kUh7X8gVt9la2ISA,author,@dantesarti4351,@dantesarti4351,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCz3gu01bmjNv0DpRq-K3XYg,UCz3gu01bmjNv0DpRq-K3XYg,author,@eusebiovasquez4385,@eusebiovasquez4385,,,,,,2,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCzSfZlOVxBSs5ObD25ywxDQ,UCzSfZlOVxBSs5ObD25ywxDQ,author,@GilmarMaldonado-q9m,@GilmarMaldonado-q9m,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UCzoL2l5H5eVlorWGH8AZfAg,UCzoL2l5H5eVlorWGH8AZfAg,author,@jor77cas,@jor77cas,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UC-fiZBS5Gp1eCJd9ucgWnCg,UC-fiZBS5Gp1eCJd9ucgWnCg,author,@Tommii.10,@Tommii.10,,,,,,1,1,1,48,0.145015,48,0.0,0.0,0.355326,142.9833,0.431974,0.00289816,,48,0.500115,0,276,False,131,10,230
A:UC1DpqK6vaPEkBOMNvypsKYg,UC1DpqK6vaPEkBOMNvypsKYg,author,@HectorCarranza-u4j4o,@HectorCarranza-u4j4o,,,,,,1,1,1,48,0.145015,48,0.0,0.0,0.355326,142.9833,0.431974,0.00289816,,48,0.500115,0,276,False,131,10,230
A:UC32oozucwCF3q8d4m8fyOUg,UC32oozucwCF3q8d4m8fyOUg,author,@RauldejesusOlivagonzalez,@RauldejesusOlivagonzalez,,,,,,1,1,1,48,0.145015,48,0.0,0.0,0.355326,142.9833,0.431974,0.00289816,,48,0.500115,0,276,False,131,10,230
A:UC3UVO7pTbeYvZ3ILEyRDskQ,UC3UVO7pTbeYvZ3ILEyRDskQ,author,@rosaelenaargueta79,@rosaelenaargueta79,,,,,,1,1,1,48,0.145015,48,0.0,0.0,0.355326,142.9833,0.431974,0.00289816,,48,0.500115,0,276,False,131,10,230
A:UC4Avya4kmR4Q0FrfFdBozSQ,UC4Avya4kmR4Q0FrfFdBozSQ,author,@davidlima1348,@davidlima1348,,,,,,1,1,1,48,0.145015,48,0.0,0.0,0.355326,142.9833,0.431974,0.00289816,,48,0.500115,0,276,False,131,10,230
A:UC5hvEnRUzI4Kfvwnyi4QxqQ,UC5hvEnRUzI4Kfvwnyi4QxqQ,author,@leonelsantizo5281,@leonelsantizo5281,,,,,,1,1,1,48,0.145015,48,0.0,0.0,0.355326,142.9833,0.431974,0.00289816,,48,0.500115,0,276,False,131,10,230
A:UC6Uj1FT5JjDSF8vudvDxPAA,UC6Uj1FT5JjDSF8vudvDxPAA,author,@alfredoortega9264,@alfredoortega9264,,,,,,1,1,1,48,0.145015,48,0.0,0.0,0.355326,142.9833,0.431974,0.00289816,,48,0.500115,0,276,False,131,10,230
A:UC7dadZG7kkGYnsNu6td0FbA,UC7dadZG7kkGYnsNu6td0FbA,author,@lesolorzano,@lesolorzano,,,,,,1,1,1,48,0.145015,48,0.0,0.0,0.355326,142.9833,0.431974,0.00289816,,48,0.500115,0,276,False,131,10,230
A:UC816IGbFCZinfYS1LRDaaHg,UC816IGbFCZinfYS1LRDaaHg,author,@ingenieroar,@ingenieroar,,,,,,1,1,1,48,0.145015,48,0.0,0.0,0.355326,142.9833,0.431974,0.00289816,,48,0.500115,0,276,False,131,10,230
A:UC95PSMouTx2N5CbSq0hIyrQ,UC95PSMouTx2N5CbSq0hIyrQ,author,@lisss1908,@lisss1908,,,,,,1,1,1,48,0.145015,48,0.0,0.0,0.355326,142.9833,0.431974,0.00289816,,48,0.500115,0,276,False,131,10,230
A:UCAKuKvcbfnBD3kF5njNu-IA,UCAKuKvcbfnBD3kF5njNu-IA,author,@melvinlopez7096,@melvinlopez7096,,,,,,1,1,1,48,0.145015,48,0.0,0.0,0.355326,142.9833,0.431974,0.00289816,,48,0.500115,0,276,False,131,10,230
A:UCCBYcToQ2dwkd6TJh0FSyDg,UCCBYcToQ2dwkd6TJh0FSyDg,author,@lidiarodriguez3493,@lidiarodriguez3493,,,,,,1,1,1,48,0.145015,48,0.0,0.0,0.355326,142.9833,0.431974,0.00289816,,48,0.500115,0,276,False,131,10,230
A:UCDrmf9y9nLgFY5wnA2hTuGA,UCDrmf9y9nLgFY5wnA2hTuGA,author,@laboratorio5528,@laboratorio5528,,,,,,1,1,1,48,0.145015,48,0.0,0.0,0.355326,142.9833,0.431974,0.00289816,,48,0.500115,0,276,False,131,10,230
A:UCGGHbtfbbe0o68etrOf0qxw,UCGGHbtfbbe0o68etrOf0qxw,author,@karensussetteleonvargas9794,@karensussetteleonvargas9794,,,,,,1,1,1,48,0.145015,48,0.0,0.0,0.355326,142.9833,0.431974,0.00289816,,48,0.500115,0,276,False,131,10,230
A:UCHbwIx9pmQuf7i-4_xO2EpA,UCHbwIx9pmQuf7i-4_xO2EpA,author,@caminoseternos752,@caminoseternos752,,,,,,1,1,1,48,0.145015,48,0.0,0.0,0.355326,142.9833,0.431974,0.00289816,,48,0.500115,0,276,False,131,10,230
A:UCNpt5CQlTzNjlAKY6CJtClQ,UCNpt5CQlTzNjlAKY6CJtClQ,author,@eustaquiogomez9975,@eustaquiogomez9975,,,,,,1,1,1,48,0.145015,48,0.0,0.0,0.355326,142.9833,0.431974,0.00289816,,48,0.500115,0,276,False,131,10,230
A:UCOcUI5XkTYNMSFhZNMIPpGg,UCOcUI5XkTYNMSFhZNMIPpGg,author,@hendersonlopez3864,@hendersonlopez3864,,,,,,1,1,1,48,0.145015,48,0.0,0.0,0.355326,142.9833,0.431974,0.00289816,,48,0.500115,0,276,False,131,10,230
A:UCQqlPPUGqAfWjd-FSh_qn7Q,UCQqlPPUGqAfWjd-FSh_qn7Q,author,@estuardoargueta137,@estuardoargueta137,,,,,,1,1,1,48,0.145015,48,0.0,0.0,0.355326,142.9833,0.431974,0.00289816,,48,0.500115,0,276,False,131,10,230
A:UCQyOePccUP-fIJYzchAgZYw,UCQyOePccUP-fIJYzchAgZYw,author,@aguilar4254,@aguilar4254,,,,,,1,1,1,48,0.145015,48,0.0,0.0,0.355326,142.9833,0.431974,0.00289816,,48,0.500115,0,276,False,131,10,230
A:UCRAquv8el-tQ30bN7MlmySQ,UCRAquv8el-tQ30bN7MlmySQ,author,@iamjimalesssa,@iamjimalesssa,,,,,,1,1,1,48,0.145015,48,0.0,0.0,0.355326,142.9833,0.431974,0.00289816,,48,0.500115,0,276,False,131,10,230
A:UCRvPToDkkumha7WJAfCDk1A,UCRvPToDkkumha7WJAfCDk1A,author,@ligiaguerra3057,@ligiaguerra3057,,,,,,1,1,1,48,0.145015,48,0.0,0.0,0.355326,142.9833,0.431974,0.00289816,,48,0.500115,0,276,False,131,10,230
A:UCUoYsrx1oZnCZ0usbBJn4fA,UCUoYsrx1oZnCZ0usbBJn4fA,author,@AnaDiaz-re9sq,@AnaDiaz-re9sq,,,,,,1,1,1,48,0.145015,48,0.0,0.0,0.355326,142.9833,0.431974,0.00289816,,48,0.500115,0,276,False,131,10,230
A:UCV0lM03g5fg5pbPj97-sAtA,UCV0lM03g5fg5pbPj97-sAtA,author,@genarodelgado3929,@genarodelgado3929,,,,,,1,1,1,48,0.145015,48,0.0,0.0,0.355326,142.9833,0.431974,0.00289816,,48,0.500115,0,276,False,131,10,230
A:UCW-JC6lebVmf2P1dmY_L94g,UCW-JC6lebVmf2P1dmY_L94g,author,@dinoraoroxon5771,@dinoraoroxon5771,,,,,,1,1,1,48,0.145015,48,0.0,0.0,0.355326,142.9833,0.431974,0.00289816,,48,0.500115,0,276,False,131,10,230
A:UCW80DaMjQlEUibC98Cot-Dg,UCW80DaMjQlEUibC98Cot-Dg,author,@rogeraldana4289,@rogeraldana4289,,,,,,1,1,1,48,0.145015,48,0.0,0.0,0.355326,142.9833,0.431974,0.00289816,,48,0.500115,0,276,False,131,10,230
A:UCWoAVGVqCn4xtINCMOTM4jg,UCWoAVGVqCn4xtINCMOTM4jg,author,@OmarMartinez-vv8re,@OmarMartinez-vv8re,,,,,,1,1,1,48,0.145015,48,0.0,0.0,0.355326,142.9833,0.431974,0.00289816,,48,0.500115,0,276,False,131,10,230
A:UCZeIIQrGAedW8tCbKWmGY-A,UCZeIIQrGAedW8tCbKWmGY-A,author,@mariocordon8873,@mariocordon8873,,,,,,1,1,1,48,0.145015,48,0.0,0.0,0.355326,142.9833,0.431974,0.00289816,,48,0.500115,0,276,False,131,10,230
A:UC_LYoGs5C3mbZKZuKuqYCvw,UC_LYoGs5C3mbZKZuKuqYCvw,author,@javiercifuentesarchila6041,@javiercifuentesarchila6041,,,,,,1,1,1,48,0.145015,48,0.0,0.0,0.355326,142.9833,0.431974,0.00289816,,48,0.500115,0,276,False,131,10,230
A:UCaKAjTW9MVub_clgr4DRYjQ,UCaKAjTW9MVub_clgr4DRYjQ,author,@josecastillo4390,@josecastillo4390,,,,,,1,1,1,48,0.145015,48,0.0,0.0,0.355326,142.9833,0.431974,0.00289816,,48,0.500115,0,276,False,131,10,230
A:UCe8JZoYkX5oKUZyivHYdXhw,UCe8JZoYkX5oKUZyivHYdXhw,author,@FernandoGarcia-jg1fj,@FernandoGarcia-jg1fj,,,,,,1,1,1,48,0.145015,48,0.0,0.0,0.355326,142.9833,0.431974,0.00289816,,48,0.500115,0,276,False,131,10,230
A:UCeDNEtI8_a42bZ47wJiJMwQ,UCeDNEtI8_a42bZ47wJiJMwQ,author,@EdgarcalderonCalderong,@EdgarcalderonCalderong,,,,,,1,1,1,48,0.145015,48,0.0,0.0,0.355326,142.9833,0.431974,0.00289816,,48,0.500115,0,276,False,131,10,230
A:UCgJNFj5dnxXpcMvmuhZDPxA,UCgJNFj5dnxXpcMvmuhZDPxA,author,@NataliaRodriguez-rx5mr,@NataliaRodriguez-rx5mr,,,,,,1,1,1,48,0.145015,48,0.0,0.0,0.355326,142.9833,0.431974,0.00289816,,48,0.500115,0,276,False,131,10,230
A:UCgQw_Sbq3ugruDUKsq1e0-A,UCgQw_Sbq3ugruDUKsq1e0-A,author,@marlenareano-h4t,@marlenareano-h4t,,,,,,1,1,1,48,0.145015,48,0.0,0.0,0.355326,142.9833,0.431974,0.00289816,,48,0.500115,0,276,False,131,10,230
A:UCiC-Jn7wdgyQV4_Urk0DkWQ,UCiC-Jn7wdgyQV4_Urk0DkWQ,author,@pedroros6358,@pedroros6358,,,,,,1,1,1,48,0.145015,48,0.0,0.0,0.355326,142.9833,0.431974,0.00289816,,48,0.500115,0,276,False,131,10,230
A:UCkVtmkK07b2zaVVNssX4lOg,UCkVtmkK07b2zaVVNssX4lOg,author,@HectorElias-u2l,@HectorElias-u2l,,,,,,1,1,1,48,0.145015,48,0.0,0.0,0.355326,142.9833,0.431974,0.00289816,,48,0.500115,0,276,False,131,10,230
A:UCkbsS_3D-pvg1iHOld9uvIg,UCkbsS_3D-pvg1iHOld9uvIg,author,@gonzalo6075,@gonzalo6075,,,,,,1,1,1,48,0.145015,48,0.0,0.0,0.355326,142.9833,0.431974,0.00289816,,48,0.500115,0,276,False,131,10,230
A:UClhMWQ7XKWywYvbRnuf8QsA,UClhMWQ7XKWywYvbRnuf8QsA,author,@EcPerez-zz9oh,@EcPerez-zz9oh,,,,,,1,1,1,48,0.145015,48,0.0,0.0,0.355326,142.9833,0.431974,0.00289816,,48,0.500115,0,276,False,131,10,230
A:UClqA491Xa5fQcXcJJa-vTWw,UClqA491Xa5fQcXcJJa-vTWw,author,@AndresLemus-k2d,@AndresLemus-k2d,,,,,,1,1,1,48,0.145015,48,0.0,0.0,0.355326,142.9833,0.431974,0.00289816,,48,0.500115,0,276,False,131,10,230
A:UColMq7LmaoY3MT6aIDGrGvA,UColMq7LmaoY3MT6aIDGrGvA,author,@quijotachapina1,@quijotachapina1,,,,,,1,1,1,48,0.145015,48,0.0,0.0,0.355326,142.9833,0.431974,0.00289816,,48,0.500115,0,276,False,131,10,230
A:UCpe5jW3MIqkgTJ-PgkzvM6Q,UCpe5jW3MIqkgTJ-PgkzvM6Q,author,@carloslam5333,@carloslam5333,,,,,,1,1,1,48,0.145015,48,0.0,0.0,0.355326,142.9833,0.431974,0.00289816,,48,0.500115,0,276,False,131,10,230
A:UCqCrvuoJpC-aVb0f4logQRQ,UCqCrvuoJpC-aVb0f4logQRQ,author,@Lyrics_GT,@Lyrics_GT,,,,,,1,1,1,48,0.145015,48,0.0,0.0,0.355326,142.9833,0.431974,0.00289816,,48,0.500115,0,276,False,131,10,230
A:UCsGoJEvb-cFPZ2rWoJcXzEQ,UCsGoJEvb-cFPZ2rWoJcXzEQ,author,@sergiohinestroza9709,@sergiohinestroza9709,,,,,,1,1,1,48,0.145015,48,0.0,0.0,0.355326,142.9833,0.431974,0.00289816,,48,0.500115,0,276,False,131,10,230
A:UCu8_3-Wg-YzNyvHYQDEscfw,UCu8_3-Wg-YzNyvHYQDEscfw,author,@RolandoCastroPérez-d7y,@RolandoCastroPérez-d7y,,,,,,1,1,1,48,0.145015,48,0.0,0.0,0.355326,142.9833,0.431974,0.00289816,,48,0.500115,0,276,False,131,10,230
A:UCuXmOjxC-htcprLgeVXz6Tg,UCuXmOjxC-htcprLgeVXz6Tg,author,@jorgeaguilar-bq3uj,@jorgeaguilar-bq3uj,,,,,,1,1,1,48,0.145015,48,0.0,0.0,0.355326,142.9833,0.431974,0.00289816,,48,0.500115,0,276,False,131,10,230
A:UCwgCc9Jd_gG-uLE_SY-FfPg,UCwgCc9Jd_gG-uLE_SY-FfPg,author,@armindapenados2841,@armindapenados2841,,,,,,1,1,1,48,0.145015,48,0.0,0.0,0.355326,142.9833,0.431974,0.00289816,,48,0.500115,0,276,False,131,10,230
A:UCwjUvRseNtJoItylIyIez7Q,UCwjUvRseNtJoItylIyIez7Q,author,@Silviazea,@Silviazea,,,,,,1,1,1,48,0.145015,48,0.0,0.0,0.355326,142.9833,0.431974,0.00289816,,48,0.500115,0,276,False,131,10,230
A:UC-HeUTT6_g-VoiWds2a4H-w,UC-HeUTT6_g-VoiWds2a4H-w,author,@JorgeMunoz-gd9et,@JorgeMunoz-gd9et,,,,,,1,1,1,31,0.093656,31,0.0,0.0,0.270384,108.8333,0.328802,0.0031738,,31,0.5,0,276,False,178,10,134
A:UC-Iul5tDYH_oiAMXQH-KaaQ,UC-Iul5tDYH_oiAMXQH-KaaQ,author,@AlbertoMancilla-p9h,@AlbertoMancilla-p9h,,,,,,1,1,1,31,0.093656,31,0.0,0.0,0.270384,108.8333,0.328802,0.0031738,,31,0.5,0,276,False,178,10,134
A:UC0HvfEWozTHbwl_iEmJNvVA,UC0HvfEWozTHbwl_iEmJNvVA,author,@OttoPalencia-b7r,@OttoPalencia-b7r,,,,,,1,1,1,31,0.093656,31,0.0,0.0,0.270384,108.8333,0.328802,0.0031738,,31,0.5,0,276,False,178,10,134
A:UC14qlobYKqD-DO0j6b75lcA,UC14qlobYKqD-DO0j6b75lcA,author,@megavision4488,@megavision4488,,,,,,1,1,1,31,0.093656,31,0.0,0.0,0.270384,108.8333,0.328802,0.0031738,,31,0.5,0,276,False,178,10,134
A:UC1NiEdJ7gk6FlDexIalWnGg,UC1NiEdJ7gk6FlDexIalWnGg,author,@BorisTebalán,@BorisTebalán,,,,,,1,1,1,31,0.093656,31,0.0,0.0,0.270384,108.8333,0.328802,0.0031738,,31,0.5,0,276,False,178,10,134
A:UC3YpzAr7pcdKC7BVFEpYzog,UC3YpzAr7pcdKC7BVFEpYzog,author,@carmenfigueroa1232,@carmenfigueroa1232,,,,,,1,1,1,31,0.093656,31,0.0,0.0,0.270384,108.8333,0.328802,0.0031738,,31,0.5,0,276,False,178,10,134
