node_id,raw_id,node_type,display_name,handle,channel_id,channel_name,category,source_query,view_count,n_comentarios_observados,n_videos_comentados,n_canales_comentados,degree,degree_centrality,strength,betweenness_ponderada,betweenness_no_ponderada,closeness_wf,harmonic,harmonic_normalizada,pagerank,eigenvector,k_core,clustering_ponderado,componente_id,tamano_de_su_componente,es_punto_articulacion,rank_strength,rank_betweenness,rank_pagerank
A:UC4cXueR2bKGFJV0Fk76gwmA,UC4cXueR2bKGFJV0Fk76gwmA,author,@aluxdel4792,@aluxdel4792,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UC4wq3DcbfaG6dtCqn8Oyu3w,UC4wq3DcbfaG6dtCqn8Oyu3w,author,@hugoasencio7764,@hugoasencio7764,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UC5H8ASmMC9WrURmzeB4ySog,UC5H8ASmMC9WrURmzeB4ySog,author,@ManuelEdran,@ManuelEdran,,,,,,5,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UC5bG9nc_JV3FsNP2KseQiYw,UC5bG9nc_JV3FsNP2KseQiYw,author,@giovannirodas4836,@giovannirodas4836,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UC650pRT-OYzny3GwOH8Cgfw,UC650pRT-OYzny3GwOH8Cgfw,author,@edvinparedesherrera7632,@edvinparedesherrera7632,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UC6PvO1_k5lHKGdAPo5_C6TA,UC6PvO1_k5lHKGdAPo5_C6TA,author,@johnmejia992,@johnmejia992,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UC6YSZqL0vEcI-niPKIMUGfw,UC6YSZqL0vEcI-niPKIMUGfw,author,@maxwellsales885,@maxwellsales885,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UC72gBAtyb_VXQlYDcFrh6oQ,UC72gBAtyb_VXQlYDcFrh6oQ,author,@osmanmorales3012,@osmanmorales3012,,,,,,3,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UC7VUuJr9cGh845CmTvf7TlQ,UC7VUuJr9cGh845CmTvf7TlQ,author,@LuisCastillo-oz4df,@LuisCastillo-oz4df,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UC8F2V63KZ4ZEay6opX2hAQw,UC8F2V63KZ4ZEay6opX2hAQw,author,@carmenr6311,@carmenr6311,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
A:UC8G5cJONY8L9voMyBW8Eoug,UC8G5cJONY8L9voMyBW8Eoug,author,@luisparedes-pw6qt,@luisparedes-pw6qt,,,,,,1,1,1,127,0.383686,127,0.0,0.0,0.454223,188.6667,0.56999,0.00326871,,127,0.500016,0,276,False,5,10,10
